Time Gx Gy Gz
s m/s^2 m/s^2 m/s^2
29.297 -3.064178 -0.919 9.653301
29.497 -2.757724 -0.765773 9.959755
29.697 -2.144816 -0.765773 9.959755
29.897 -1.685135 -0.459319 9.500074
30.098 -0.459319 -0.459319 10.112982
30.298 0.306816 -0.306092 9.806528
30.298 0.766497 -0.459319 9.806528
30.499 2.14554 -1.225454 9.806528
30.7 2.911675 -1.378681 9.653301
30.901 3.524583 -1.378681 10.112982
31.103 3.524583 -1.991589 9.500074
31.303 3.984264 -2.604497 9.959755
31.503 3.524583 -2.757724 9.500074
31.703 3.524583 -2.604497 9.653301
31.904 2.758448 -2.604497 9.959755
32.105 2.298767 -2.757724 9.959755
32.305 1.379405 -3.064178 10.419436
32.505 0.61327 -3.064178 9.19362
32.706 0.460043 -2.910951 9.959755
32.906 0.460043 -2.910951 9.959755
33.106 3.62E-04 -2.910951 10.266209
33.307 3.62E-04 -3.064178 9.959755
33.308 0.153589 -3.064178 10.112982
33.508 3.62E-04 -2.910951 9.500074
33.709 0.153589 -2.757724 10.419436
33.911 0.306816 -2.757724 9.346847
34.114 3.62E-04 -2.45127 10.112982
34.314 0.153589 -2.45127 9.653301
34.515 3.62E-04 -2.144816 10.112982
34.716 0.153589 -1.685135 10.572663
34.918 3.62E-04 -1.225454 9.346847
35.118 0.153589 -0.919 9.959755
35.319 0.306816 -0.919 9.959755
35.52 0.306816 -0.765773 9.806528
35.52 0.460043 -0.765773 9.346847
35.72 0.153589 -0.612546 9.806528
35.923 0.306816 -0.459319 9.959755
36.124 0.153589 -0.919 10.419436
36.324 0.153589 -0.152865 9.653301
36.524 3.62E-04 -0.152865 9.806528
36.725 0.153589 -0.152865 10.112982
36.925 3.62E-04 -0.152865 10.266209
37.126 0.153589 -0.152865 9.806528
37.328 0.153589 -0.152865 9.653301
37.528 0.306816 -0.152865 9.959755
37.728 0.153589 -0.152865 9.500074
37.929 0.306816 -0.152865 9.806528
38.13 0.153589 -0.152865 9.500074
38.331 0.306816 3.62E-04 9.806528
38.531 0.153589 -0.152865 9.806528
38.531 0.153589 -0.152865 9.653301
38.732 0.153589 -0.152865 9.500074
38.932 0.153589 -0.152865 9.806528
39.133 0.306816 -0.152865 9.806528
39.335 3.62E-04 3.62E-04 9.346847
39.535 0.153589 0.153589 9.500074
39.736 0.153589 0.153589 9.500074
39.936 0.153589 0.153589 10.112982
40.137 -0.152865 0.306816 10.112982
